12,24,36,48,
Tactical-Flamer-Grav-cannon and Grav-amp-Boltgun,0.2912487615381077,0.18039737926214852,0.08963919417869548,0.06189038152851997,
Tactical-Flamer-Grav-cannon and Grav-amp-Combi-flamer,0.3104328116993016,0.19227984136923618,0.0955435722383703,0.06596699348548847,
Tactical-Flamer-Grav-cannon and Grav-amp-Combi-melta,0.3243848481801683,0.20092163199257287,0.0998376653726786,0.06893180218146532,
Tactical-Flamer-Grav-cannon and Grav-amp-Combi-plasma,0.31740882993973474,0.19660073668090436,0.09769061880552445,0.06744939783347693,
Tactical-Flamer-Grav-cannon and Grav-amp-Storm Bolter,0.29473677065832515,0.18255782691798295,0.09071271746227241,0.0626315837025144,
Tactical-Flamer-Heavy Bolter-Boltgun,0.2598566794561565,0.1609533503596413,0.07997748462650076,0.055219561962571696,
Tactical-Flamer-Heavy Bolter-Combi-flamer,0.27904072961734944,0.17283581246672938,0.08588186268617537,0.05929617391954021,
Tactical-Flamer-Heavy Bolter-Combi-melta,0.292992766098217,0.18147760309006558,0.0901759558204845,0.062260982615517116,
Tactical-Flamer-Heavy Bolter-Combi-plasma,0.2860167478577828,0.1771567077783975,0.08802890925332967,0.0607785782675286,
Tactical-Flamer-Heavy Bolter-Storm Bolter,0.263344688576373,0.16311379801547557,0.08105100791007804,0.055960764136566005,
Tactical-Flamer-Lascannon-Boltgun,0.2860167478577828,0.1771567077783975,0.08802890925332967,0.0607785782675286,
Tactical-Flamer-Lascannon-Combi-flamer,0.3052007980189756,0.18903916988548503,0.09393328731300445,0.06485519022449705,
Tactical-Flamer-Lascannon-Combi-melta,0.31915283449984344,0.1976809605088217,0.09822738044731276,0.06781999892047409,
Tactical-Flamer-Lascannon-Combi-plasma,0.31217681625940946,0.19336006519715324,0.09608033388015863,0.06633759457248553,
Tactical-Flamer-Lascannon-Storm Bolter,0.28950475697799977,0.17931715543423157,0.0891024325369068,0.06151978044152284,
Tactical-Flamer-Missile Launcher-Boltgun,0.2860167478577828,0.1771567077783975,0.08802890925332967,0.0607785782675286,
Tactical-Flamer-Missile Launcher-Combi-flamer,0.3052007980189756,0.18903916988548503,0.09393328731300445,0.06485519022449705,
Tactical-Flamer-Missile Launcher-Combi-melta,0.31915283449984344,0.1976809605088217,0.09822738044731276,0.06781999892047409,
Tactical-Flamer-Missile Launcher-Combi-plasma,0.31217681625940946,0.19336006519715324,0.09608033388015863,0.06633759457248553,
Tactical-Flamer-Missile Launcher-Storm Bolter,0.28950475697799977,0.17931715543423157,0.0891024325369068,0.06151978044152284,
Tactical-Flamer-Multi-melta-Boltgun,0.28950475697799977,0.17931715543423157,0.0891024325369068,0.06151978044152284,
Tactical-Flamer-Multi-melta-Combi-flamer,0.3086888071391925,0.19119961754131923,0.09500681059658149,0.06559639239849124,
Tactical-Flamer-Multi-melta-Combi-melta,0.32264084362006035,0.1998414081646559,0.09930090373089054,0.06856120109446828,
Tactical-Flamer-Multi-melta-Combi-plasma,0.3156648253796265,0.19552051285298747,0.0971538571637361,0.06707879674647971,
Tactical-Flamer-Multi-melta-Storm Bolter,0.292992766098217,0.18147760309006558,0.0901759558204845,0.062260982615517116,
Tactical-Flamer-Plasma Cannon-Boltgun,0.27904072961734944,0.17283581246672938,0.08588186268617537,0.05929617391954021,
Tactical-Flamer-Plasma Cannon-Combi-flamer,0.2982247797785423,0.18471827457381676,0.09178624074585003,0.06337278587650849,
